instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_category,windspeed_category,season_weather
3370,2,0,5,7,0,3,1,1,0.62,0.5909,0.73,0.1343,29,284,313,Panas,Rendah,2_1
3371,2,0,5,8,0,3,1,1,0.64,0.6061,0.69,0.2239,36,495,531,Panas,Sedang,2_1
3372,2,0,5,9,0,3,1,1,0.68,0.6364,0.65,0.0896,27,207,234,Panas,Rendah,2_1
3373,2,0,5,10,0,3,1,1,0.7,0.6515,0.61,0.0896,30,105,135,Panas,Rendah,2_1
3374,2,0,5,11,0,3,1,1,0.74,0.6667,0.51,0.0896,36,104,140,Panas,Rendah,2_1
3375,2,0,5,12,0,3,1,1,0.74,0.6818,0.55,0.1343,32,178,210,Panas,Rendah,2_1
3376,2,0,5,13,0,3,1,1,0.74,0.6818,0.55,0.1343,39,163,202,Panas,Rendah,2_1
3377,2,0,5,14,0,3,1,1,0.74,0.6818,0.55,0.1642,47,121,168,Panas,Rendah,2_1
3378,2,0,5,15,0,3,1,1,0.76,0.697,0.52,0.2537,37,145,182,Panas,Sedang,2_1
3379,2,0,5,16,0,3,1,1,0.74,0.6667,0.51,0.2836,61,238,299,Panas,Sedang,2_1
3380,2,0,5,17,0,3,1,1,0.74,0.6667,0.51,0.2239,77,524,601,Panas,Sedang,2_1
3381,2,0,5,18,0,3,1,1,0.72,0.6667,0.58,0.2239,66,451,517,Panas,Sedang,2_1
3382,2,0,5,19,0,3,1,1,0.7,0.6515,0.61,0.1343,73,332,405,Panas,Rendah,2_1
3383,2,0,5,20,0,3,1,1,0.7,0.6515,0.61,0.1642,56,284,340,Panas,Rendah,2_1
3384,2,0,5,21,0,3,1,1,0.66,0.6212,0.69,0.1343,33,203,236,Panas,Rendah,2_1
3385,2,0,5,22,0,3,1,1,0.66,0.6212,0.69,0.2537,34,140,174,Panas,Sedang,2_1
3386,2,0,5,23,0,3,1,1,0.64,0.6061,0.73,0.1343,12,74,86,Panas,Rendah,2_1
3387,2,0,5,0,0,4,1,1,0.64,0.6061,0.73,0.1343,11,34,45,Panas,Rendah,2_1
3388,2,0,5,1,0,4,1,1,0.64,0.6061,0.73,0.1343,3,13,16,Panas,Rendah,2_1
3389,2,0,5,2,0,4,1,1,0.62,0.5758,0.83,0.1045,7,7,14,Panas,Rendah,2_1
3390,2,0,5,3,0,4,1,1,0.6,0.5455,0.88,0.0896,0,4,4,Hangat,Rendah,2_1
3391,2,0,5,4,0,4,1,1,0.6,0.5455,0.88,0.0,0,2,2,Hangat,Rendah,2_1
3392,2,0,5,5,0,4,1,2,0.6,0.5455,0.88,0.0896,2,25,27,Hangat,Rendah,2_2
3393,2,0,5,6,0,4,1,2,0.6,0.5,1.0,0.0896,4,94,98,Hangat,Rendah,2_2
3394,2,0,5,7,0,4,1,2,0.62,0.5455,0.94,0.2537,16,270,286,Panas,Sedang,2_2
3395,2,0,5,8,0,4,1,2,0.66,0.6061,0.83,0.1642,31,458,489,Panas,Rendah,2_2
3396,2,0,5,9,0,4,1,1,0.72,0.6818,0.7,0.1642,22,194,216,Panas,Rendah,2_1
3397,2,0,5,10,0,4,1,1,0.7,0.6667,0.74,0.2836,49,94,143,Panas,Sedang,2_1
3398,2,0,5,11,0,4,1,1,0.74,0.697,0.66,0.2239,36,124,160,Panas,Sedang,2_1
3399,2,0,5,12,0,4,1,1,0.78,0.7424,0.59,0.3284,53,141,194,Panas,Sedang,2_1
3400,2,0,5,13,0,4,1,1,0.82,0.7727,0.52,0.2836,52,145,197,Panas,Sedang,2_1
3401,2,0,5,14,0,4,1,1,0.82,0.7727,0.52,0.2836,44,145,189,Panas,Sedang,2_1
3402,2,0,5,15,0,4,1,2,0.82,0.7576,0.46,0.2836,40,101,141,Panas,Sedang,2_2
3403,2,0,5,16,0,4,1,2,0.8,0.7424,0.49,0.3582,58,233,291,Panas,Sedang,2_2
3404,2,0,5,17,0,4,1,1,0.8,0.7273,0.46,0.2836,49,445,494,Panas,Sedang,2_1
3405,2,0,5,18,0,4,1,1,0.8,0.7273,0.46,0.3284,74,404,478,Panas,Sedang,2_1
3406,2,0,5,19,0,4,1,1,0.78,0.697,0.46,0.3284,67,311,378,Panas,Sedang,2_1
3407,2,0,5,20,0,4,1,1,0.72,0.6667,0.58,0.1642,55,267,322,Panas,Rendah,2_1
3408,2,0,5,21,0,4,1,1,0.72,0.6818,0.62,0.0896,45,178,223,Panas,Rendah,2_1
3409,2,0,5,22,0,4,1,1,0.7,0.6515,0.65,0.1343,23,157,180,Panas,Rendah,2_1
3410,2,0,5,23,0,4,1,1,0.7,0.6515,0.65,0.194,17,73,90,Panas,Rendah,2_1
3411,2,0,5,0,0,5,1,1,0.68,0.6364,0.69,0.2537,14,55,69,Panas,Sedang,2_1
3412,2,0,5,1,0,5,1,1,0.7,0.6515,0.58,0.2985,14,36,50,Panas,Sedang,2_1
3413,2,0,5,2,0,5,1,1,0.68,0.6364,0.61,0.2239,6,12,18,Panas,Sedang,2_1
3414,2,0,5,3,0,5,1,1,0.66,0.6212,0.65,0.0896,1,11,12,Panas,Rendah,2_1
3415,2,0,5,4,0,5,1,1,0.64,0.6061,0.69,0.1343,2,5,7,Panas,Rendah,2_1
3416,2,0,5,5,0,5,1,1,0.64,0.6061,0.65,0.2836,2,29,31,Panas,Sedang,2_1
3417,2,0,5,6,0,5,1,1,0.64,0.6061,0.69,0.0896,8,73,81,Panas,Rendah,2_1
3418,2,0,5,7,0,5,1,1,0.64,0.6061,0.73,0.1642,20,229,249,Panas,Rendah,2_1
3419,2,0,5,8,0,5,1,1,0.66,0.6212,0.74,0.2836,25,393,418,Panas,Sedang,2_1
3420,2,0,5,9,0,5,1,1,0.7,0.6515,0.65,0.2836,37,190,227,Panas,Sedang,2_1
3421,2,0,5,10,0,5,1,1,0.72,0.6667,0.54,0.3881,42,111,153,Panas,Sedang,2_1
3422,2,0,5,11,0,5,1,2,0.74,0.6818,0.55,0.3284,40,126,166,Panas,Sedang,2_2
3423,2,0,5,12,0,5,1,2,0.76,0.697,0.55,0.2985,53,190,243,Panas,Sedang,2_2
3424,2,0,5,13,0,5,1,1,0.74,0.6818,0.58,0.194,51,158,209,Panas,Rendah,2_1
3425,2,0,5,14,0,5,1,1,0.76,0.697,0.55,0.2537,51,188,239,Panas,Sedang,2_1
3426,2,0,5,15,0,5,1,1,0.78,0.7121,0.49,0.2836,98,258,356,Panas,Sedang,2_1
3427,2,0,5,16,0,5,1,2,0.76,0.697,0.55,0.3881,63,356,419,Panas,Sedang,2_2
3428,2,0,5,17,0,5,1,1,0.74,0.6818,0.58,0.3881,77,414,491,Panas,Sedang,2_1
3429,2,0,5,18,0,5,1,2,0.72,0.6818,0.62,0.2985,89,310,399,Panas,Sedang,2_2
3430,2,0,5,19,0,5,1,3,0.6,0.5758,0.78,0.2537,69,210,279,Hangat,Sedang,2_3
3431,2,0,5,20,0,5,1,2,0.62,0.5909,0.73,0.2239,24,120,144,Panas,Sedang,2_2
3432,2,0,5,21,0,5,1,1,0.6,0.5606,0.83,0.1045,37,114,151,Hangat,Rendah,2_1
3433,2,0,5,22,0,5,1,1,0.6,0.5758,0.78,0.1343,25,116,141,Hangat,Rendah,2_1
3434,2,0,5,23,0,5,1,1,0.58,0.5455,0.88,0.1343,23,104,127,Hangat,Rendah,2_1
3435,2,0,5,0,0,6,0,1,0.58,0.5455,0.88,0.1343,15,79,94,Hangat,Rendah,2_1
3436,2,0,5,1,0,6,0,1,0.58,0.5455,0.88,0.194,8,47,55,Hangat,Rendah,2_1
3437,2,0,5,2,0,6,0,1,0.56,0.5303,0.94,0.194,13,35,48,Hangat,Rendah,2_1
3438,2,0,5,3,0,6,0,1,0.56,0.5303,0.88,0.2239,2,13,15,Hangat,Sedang,2_1
3439,2,0,5,4,0,6,0,1,0.56,0.5303,0.88,0.2537,0,4,4,Hangat,Sedang,2_1
3440,2,0,5,5,0,6,0,1,0.56,0.5303,0.88,0.2239,4,3,7,Hangat,Sedang,2_1
3441,2,0,5,6,0,6,0,1,0.58,0.5455,0.83,0.2537,3,16,19,Hangat,Sedang,2_1
3442,2,0,5,7,0,6,0,1,0.6,0.5606,0.83,0.2537,17,33,50,Hangat,Sedang,2_1
3443,2,0,5,8,0,6,0,1,0.62,0.5909,0.78,0.194,27,75,102,Panas,Rendah,2_1
3444,2,0,5,9,0,6,0,1,0.64,0.6061,0.73,0.2537,61,116,177,Panas,Sedang,2_1
3445,2,0,5,10,0,6,0,1,0.7,0.6515,0.65,0.2239,110,166,276,Panas,Sedang,2_1
3446,2,0,5,11,0,6,0,1,0.7,0.6515,0.65,0.2239,171,178,349,Panas,Sedang,2_1
3447,2,0,5,12,0,6,0,1,0.72,0.6667,0.58,0.2537,145,213,358,Panas,Sedang,2_1
3448,2,0,5,13,0,6,0,1,0.72,0.6818,0.62,0.2239,168,217,385,Panas,Sedang,2_1
3449,2,0,5,14,0,6,0,1,0.74,0.6818,0.58,0.2239,172,210,382,Panas,Sedang,2_1
3450,2,0,5,15,0,6,0,1,0.74,0.6818,0.55,0.2239,187,187,374,Panas,Sedang,2_1
3451,2,0,5,16,0,6,0,1,0.76,0.697,0.55,0.2836,201,201,402,Panas,Sedang,2_1
3452,2,0,5,17,0,6,0,1,0.74,0.6818,0.55,0.2985,180,161,341,Panas,Sedang,2_1
3453,2,0,5,18,0,6,0,1,0.72,0.6818,0.62,0.2537,173,212,385,Panas,Sedang,2_1
3454,2,0,5,19,0,6,0,1,0.7,0.6515,0.65,0.194,99,153,252,Panas,Rendah,2_1
3455,2,0,5,20,0,6,0,1,0.7,0.6515,0.65,0.2239,68,128,196,Panas,Sedang,2_1
3456,2,0,5,21,0,6,0,1,0.66,0.6212,0.74,0.2985,87,114,201,Panas,Sedang,2_1
3457,2,0,5,22,0,6,0,1,0.66,0.6061,0.78,0.2239,46,115,161,Panas,Sedang,2_1
3458,2,0,5,23,0,6,0,1,0.64,0.5758,0.83,0.194,44,81,125,Panas,Rendah,2_1
3459,2,0,5,0,0,0,0,1,0.64,0.5758,0.83,0.2239,32,51,83,Panas,Sedang,2_1
3460,2,0,5,1,0,0,0,1,0.62,0.5606,0.88,0.1642,17,49,66,Panas,Rendah,2_1
3461,2,0,5,2,0,0,0,1,0.62,0.5606,0.88,0.1045,12,49,61,Panas,Rendah,2_1
3462,2,0,5,3,0,0,0,1,0.62,0.5606,0.88,0.1045,2,24,26,Panas,Rendah,2_1
3463,2,0,5,4,0,0,0,1,0.6,0.5455,0.88,0.0896,13,10,23,Hangat,Rendah,2_1
3464,2,0,5,5,0,0,0,1,0.6,0.5152,0.94,0.1642,3,3,6,Hangat,Rendah,2_1
3465,2,0,5,6,0,0,0,2,0.62,0.5606,0.88,0.194,5,10,15,Panas,Rendah,2_2
3466,2,0,5,7,0,0,0,2,0.62,0.5606,0.88,0.2537,13,17,30,Panas,Sedang,2_2
3467,2,0,5,8,0,0,0,2,0.62,0.5606,0.88,0.2239,34,62,96,Panas,Sedang,2_2
3468,2,0,5,9,0,0,0,2,0.62,0.5455,0.94,0.2537,74,78,152,Panas,Sedang,2_2
3469,2,0,5,10,0,0,0,2,0.66,0.6061,0.83,0.2239,130,121,251,Panas,Sedang,2_2
3470,2,0,5,11,0,0,0,2,0.66,0.6061,0.83,0.2836,139,180,319,Panas,Sedang,2_2
3471,2,0,5,12,0,0,0,2,0.7,0.6667,0.74,0.2239,216,186,402,Panas,Sedang,2_2
3472,2,0,5,13,0,0,0,1,0.72,0.6818,0.7,0.2836,237,181,418,Panas,Sedang,2_1
3473,2,0,5,14,0,0,0,1,0.74,0.697,0.7,0.2836,183,168,351,Panas,Sedang,2_1
3474,2,0,5,15,0,0,0,1,0.74,0.697,0.7,0.2985,221,155,376,Panas,Sedang,2_1
3475,2,0,5,16,0,0,0,1,0.74,0.697,0.7,0.2836,194,167,361,Panas,Sedang,2_1
3476,2,0,5,17,0,0,0,1,0.74,0.697,0.7,0.2836,214,169,383,Panas,Sedang,2_1
3477,2,0,5,18,0,0,0,1,0.72,0.697,0.74,0.2836,151,177,328,Panas,Sedang,2_1
3478,2,0,5,19,0,0,0,1,0.72,0.697,0.74,0.2537,141,146,287,Panas,Sedang,2_1
3479,2,0,5,20,0,0,0,1,0.7,0.6667,0.79,0.194,91,128,219,Panas,Rendah,2_1
3480,2,0,5,21,0,0,0,1,0.68,0.6364,0.83,0.1642,107,122,229,Panas,Rendah,2_1
3481,2,0,5,22,0,0,0,1,0.66,0.5909,0.89,0.1343,78,93,171,Panas,Rendah,2_1
3482,2,0,5,23,0,0,0,1,0.66,0.5909,0.89,0.1642,48,87,135,Panas,Rendah,2_1
3483,2,0,5,0,1,1,0,1,0.64,0.5606,0.94,0.194,38,65,103,Panas,Rendah,2_1
3484,2,0,5,1,1,1,0,1,0.64,0.5606,0.94,0.1343,26,53,79,Panas,Rendah,2_1
3485,2,0,5,2,1,1,0,1,0.64,0.5606,0.94,0.194,17,28,45,Panas,Rendah,2_1
3486,2,0,5,3,1,1,0,1,0.64,0.5606,0.94,0.194,10,8,18,Panas,Rendah,2_1
3487,2,0,5,4,1,1,0,1,0.62,0.5455,0.94,0.1642,2,4,6,Panas,Rendah,2_1
3488,2,0,5,5,1,1,0,2,0.62,0.5455,0.94,0.1045,1,6,7,Panas,Rendah,2_2
3489,2,0,5,6,1,1,0,2,0.64,0.5606,0.94,0.0896,6,10,16,Panas,Rendah,2_2
3490,2,0,5,7,1,1,0,2,0.64,0.5606,0.94,0.0,12,19,31,Panas,Rendah,2_2
3491,2,0,5,8,1,1,0,2,0.66,0.5909,0.89,0.1045,36,58,94,Panas,Rendah,2_2
3492,2,0,5,9,1,1,0,1,0.72,0.697,0.74,0.0896,47,81,128,Panas,Rendah,2_1
3493,2,0,5,10,1,1,0,1,0.8,0.7576,0.55,0.2537,116,153,269,Panas,Sedang,2_1
3494,2,0,5,11,1,1,0,1,0.82,0.7727,0.52,0.0,153,168,321,Panas,Rendah,2_1
3495,2,0,5,12,1,1,0,1,0.86,0.803,0.47,0.1045,179,187,366,Panas,Rendah,2_1
3496,2,0,5,13,1,1,0,1,0.86,0.7879,0.44,0.0896,133,217,350,Panas,Rendah,2_1
3497,2,0,5,14,1,1,0,1,0.88,0.803,0.39,0.0,142,185,327,Panas,Rendah,2_1
3498,2,0,5,15,1,1,0,1,0.88,0.803,0.39,0.2537,132,179,311,Panas,Sedang,2_1
3499,2,0,5,16,1,1,0,1,0.88,0.7879,0.37,0.2836,101,208,309,Panas,Sedang,2_1
3500,2,0,5,17,1,1,0,1,0.86,0.7879,0.41,0.2239,102,202,304,Panas,Sedang,2_1
3501,2,0,5,18,1,1,0,1,0.86,0.7879,0.41,0.1642,77,172,249,Panas,Rendah,2_1
3502,2,0,5,19,1,1,0,2,0.52,0.5,0.48,0.1045,68,157,225,Hangat,Rendah,2_2
3503,2,0,5,20,1,1,0,1,0.76,0.7121,0.58,0.0,69,168,237,Panas,Rendah,2_1
3504,2,0,5,21,1,1,0,1,0.74,0.697,0.7,0.1343,42,107,149,Panas,Rendah,2_1
3505,2,0,5,22,1,1,0,1,0.72,0.697,0.74,0.1642,26,80,106,Panas,Rendah,2_1
3506,2,0,5,23,1,1,0,1,0.7,0.6667,0.84,0.1045,14,34,48,Panas,Rendah,2_1
3507,2,0,5,0,0,2,1,1,0.7,0.6667,0.79,0.0896,9,20,29,Panas,Rendah,2_1
3508,2,0,5,1,0,2,1,1,0.68,0.6364,0.89,0.0896,8,9,17,Panas,Rendah,2_1
3509,2,0,5,2,0,2,1,2,0.66,0.5909,0.94,0.1343,5,7,12,Panas,Rendah,2_2
3510,2,0,5,3,0,2,1,2,0.64,0.5606,0.94,0.0,1,3,4,Panas,Rendah,2_2
3511,2,0,5,4,0,2,1,1,0.66,0.6061,0.83,0.0896,0,3,3,Panas,Rendah,2_1
3512,2,0,5,5,0,2,1,1,0.66,0.6061,0.83,0.0896,0,26,26,Panas,Rendah,2_1
3513,2,0,5,6,0,2,1,1,0.68,0.6364,0.79,0.0896,11,98,109,Panas,Rendah,2_1
3514,2,0,5,7,0,2,1,1,0.74,0.697,0.66,0.1045,16,219,235,Panas,Rendah,2_1
3515,2,0,5,8,0,2,1,1,0.78,0.7424,0.59,0.1343,34,372,406,Panas,Rendah,2_1
3516,2,0,5,9,0,2,1,1,0.8,0.7576,0.55,0.1343,22,153,175,Panas,Rendah,2_1
3517,2,0,5,10,0,2,1,1,0.82,0.7879,0.56,0.1343,37,72,109,Panas,Rendah,2_1
3518,2,0,5,11,0,2,1,1,0.86,0.803,0.47,0.0,28,78,106,Panas,Rendah,2_1
3519,2,0,5,12,0,2,1,1,0.86,0.803,0.47,0.1343,37,125,162,Panas,Rendah,2_1
3520,2,0,5,13,0,2,1,1,0.9,0.8333,0.39,0.1642,37,110,147,Panas,Rendah,2_1
3521,2,0,5,14,0,2,1,1,0.9,0.8182,0.37,0.0,41,99,140,Panas,Rendah,2_1
3522,2,0,5,15,0,2,1,1,0.9,0.8182,0.37,0.1642,42,133,175,Panas,Rendah,2_1
3523,2,0,5,16,0,2,1,1,0.9,0.8333,0.39,0.1343,44,205,249,Panas,Rendah,2_1
3524,2,0,5,17,0,2,1,1,0.84,0.803,0.53,0.2239,67,428,495,Panas,Sedang,2_1
3525,2,0,5,18,0,2,1,1,0.84,0.803,0.53,0.194,55,362,417,Panas,Rendah,2_1
3526,2,0,5,19,0,2,1,1,0.78,0.7424,0.62,0.1045,39,246,285,Panas,Rendah,2_1
3527,2,0,5,20,0,2,1,1,0.78,0.7424,0.62,0.1045,38,213,251,Panas,Rendah,2_1
3528,2,0,5,21,0,2,1,1,0.76,0.7273,0.66,0.1045,45,165,210,Panas,Rendah,2_1
3529,2,0,5,22,0,2,1,1,0.74,0.697,0.7,0.1642,42,117,159,Panas,Rendah,2_1
3530,2,0,5,23,0,2,1,1,0.72,0.697,0.79,0.0896,15,46,61,Panas,Rendah,2_1
3531,2,0,6,0,0,3,1,1,0.7,0.6667,0.79,0.1642,9,25,34,Panas,Rendah,2_1
3532,2,0,6,1,0,3,1,1,0.7,0.6667,0.84,0.2537,8,9,17,Panas,Sedang,2_1
3533,2,0,6,2,0,3,1,1,0.7,0.6667,0.79,0.1642,0,3,3,Panas,Rendah,2_1
3534,2,0,6,3,0,3,1,1,0.68,0.6364,0.89,0.194,0,6,6,Panas,Rendah,2_1
3535,2,0,6,4,0,3,1,2,0.68,0.6364,0.89,0.2239,0,4,4,Panas,Sedang,2_2
3536,2,0,6,5,0,3,1,2,0.66,0.5909,0.89,0.0896,2,19,21,Panas,Rendah,2_2
3537,2,0,6,6,0,3,1,2,0.68,0.6364,0.89,0.0896,7,121,128,Panas,Rendah,2_2
3538,2,0,6,7,0,3,1,2,0.7,0.6667,0.79,0.1642,19,265,284,Panas,Rendah,2_2
3539,2,0,6,8,0,3,1,2,0.72,0.697,0.79,0.194,37,417,454,Panas,Rendah,2_2
3540,2,0,6,9,0,3,1,2,0.74,0.7121,0.74,0.2239,34,173,207,Panas,Sedang,2_2
3541,2,0,6,10,0,3,1,2,0.76,0.7424,0.75,0.2537,31,84,115,Panas,Sedang,2_2
3542,2,0,6,11,0,3,1,2,0.82,0.803,0.59,0.2239,26,86,112,Panas,Sedang,2_2
3543,2,0,6,12,0,3,1,1,0.86,0.8333,0.53,0.0,32,137,169,Panas,Rendah,2_1
3544,2,0,6,13,0,3,1,1,0.9,0.8182,0.37,0.194,29,125,154,Panas,Rendah,2_1
3545,2,0,6,14,0,3,1,1,0.9,0.8182,0.37,0.2537,40,105,145,Panas,Sedang,2_1
3546,2,0,6,15,0,3,1,1,0.9,0.8333,0.39,0.2985,25,127,152,Panas,Sedang,2_1
3547,2,0,6,16,0,3,1,1,0.86,0.803,0.47,0.2985,39,227,266,Panas,Sedang,2_1
3548,2,0,6,17,0,3,1,1,0.86,0.803,0.47,0.2985,52,434,486,Panas,Sedang,2_1
3549,2,0,6,18,0,3,1,3,0.82,0.7879,0.56,0.3881,31,278,309,Panas,Sedang,2_3
3550,2,0,6,19,0,3,1,2,0.74,0.7121,0.79,0.1642,16,248,264,Panas,Rendah,2_2
3551,2,0,6,20,0,3,1,2,0.74,0.7121,0.79,0.2537,23,233,256,Panas,Sedang,2_2
3552,2,0,6,21,0,3,1,1,0.74,0.697,0.7,0.2836,29,161,190,Panas,Sedang,2_1
3553,2,0,6,22,0,3,1,1,0.74,0.697,0.66,0.1343,14,115,129,Panas,Rendah,2_1
3554,2,0,6,23,0,3,1,1,0.74,0.6667,0.51,0.1642,10,59,69,Panas,Rendah,2_1
3555,2,0,6,0,0,4,1,1,0.74,0.6515,0.4,0.3582,11,31,42,Panas,Sedang,2_1
3556,2,0,6,1,0,4,1,1,0.72,0.6515,0.38,0.1045,3,12,15,Panas,Rendah,2_1
3557,2,0,6,2,0,4,1,1,0.7,0.6364,0.39,0.0,0,6,6,Panas,Rendah,2_1
3558,2,0,6,3,0,4,1,1,0.66,0.6212,0.44,0.1045,0,4,4,Panas,Rendah,2_1
3559,2,0,6,4,0,4,1,1,0.66,0.6212,0.41,0.194,0,3,3,Panas,Rendah,2_1
3560,2,0,6,5,0,4,1,1,0.66,0.6212,0.39,0.2239,3,28,31,Panas,Sedang,2_1
3561,2,0,6,6,0,4,1,1,0.66,0.6212,0.39,0.1343,7,106,113,Panas,Rendah,2_1
3562,2,0,6,7,0,4,1,1,0.7,0.6364,0.34,0.2537,19,285,304,Panas,Sedang,2_1
3563,2,0,6,8,0,4,1,1,0.7,0.6364,0.32,0.2985,25,442,467,Panas,Sedang,2_1
3564,2,0,6,9,0,4,1,1,0.72,0.6364,0.26,0.3582,28,197,225,Panas,Sedang,2_1
3565,2,0,6,10,0,4,1,1,0.72,0.6515,0.28,0.4925,33,106,139,Panas,Sedang,2_1
3566,2,0,6,11,0,4,1,1,0.74,0.6515,0.28,0.3881,42,123,165,Panas,Sedang,2_1
3567,2,0,6,12,0,4,1,1,0.76,0.6667,0.25,0.4627,39,193,232,Panas,Sedang,2_1
3568,2,0,6,13,0,4,1,1,0.8,0.6818,0.24,0.3582,35,168,203,Panas,Sedang,2_1
3569,2,0,6,14,0,4,1,1,0.78,0.6667,0.24,0.3284,43,142,185,Panas,Sedang,2_1
3570,2,0,6,15,0,4,1,1,0.8,0.6818,0.21,0.3881,44,144,188,Panas,Sedang,2_1
3571,2,0,6,16,0,4,1,1,0.8,0.6818,0.22,0.4925,63,255,318,Panas,Sedang,2_1
3572,2,0,6,17,0,4,1,1,0.76,0.6515,0.2,0.5224,88,484,572,Panas,Tinggi,2_1
3573,2,0,6,18,0,4,1,1,0.74,0.6515,0.22,0.3881,74,451,525,Panas,Sedang,2_1
3574,2,0,6,19,0,4,1,1,0.72,0.6364,0.23,0.2985,58,321,379,Panas,Sedang,2_1
3575,2,0,6,20,0,4,1,1,0.7,0.6364,0.24,0.194,51,286,337,Panas,Rendah,2_1
3576,2,0,6,21,0,4,1,1,0.66,0.6212,0.31,0.194,33,215,248,Panas,Rendah,2_1
3577,2,0,6,22,0,4,1,1,0.64,0.6212,0.33,0.2537,14,141,155,Panas,Sedang,2_1
3578,2,0,6,23,0,4,1,1,0.62,0.6212,0.35,0.2239,23,89,112,Panas,Sedang,2_1
3579,2,0,6,0,0,5,1,1,0.62,0.6212,0.38,0.2836,15,53,68,Panas,Sedang,2_1
3580,2,0,6,1,0,5,1,1,0.6,0.6212,0.38,0.3582,7,15,22,Hangat,Sedang,2_1
3581,2,0,6,2,0,5,1,1,0.56,0.5303,0.43,0.2239,0,12,12,Hangat,Sedang,2_1
3582,2,0,6,3,0,5,1,1,0.54,0.5152,0.49,0.2239,0,5,5,Hangat,Sedang,2_1
3583,2,0,6,4,0,5,1,1,0.52,0.5,0.48,0.3284,1,5,6,Hangat,Sedang,2_1
3584,2,0,6,5,0,5,1,1,0.52,0.5,0.48,0.3582,4,24,28,Hangat,Sedang,2_1
3585,2,0,6,6,0,5,1,1,0.54,0.5152,0.45,0.2985,8,98,106,Hangat,Sedang,2_1
3586,2,0,6,7,0,5,1,1,0.54,0.5152,0.45,0.2537,25,252,277,Hangat,Sedang,2_1
3587,2,0,6,8,0,5,1,2,0.56,0.5303,0.43,0.3284,31,471,502,Hangat,Sedang,2_2
3588,2,0,6,9,0,5,1,1,0.58,0.5455,0.4,0.1642,36,194,230,Hangat,Rendah,2_1
3589,2,0,6,10,0,5,1,1,0.62,0.6212,0.33,0.2537,54,107,161,Panas,Sedang,2_1
3590,2,0,6,11,0,5,1,1,0.64,0.6212,0.31,0.3284,57,135,192,Panas,Sedang,2_1
3591,2,0,6,12,0,5,1,1,0.66,0.6212,0.27,0.2836,51,208,259,Panas,Sedang,2_1
3592,2,0,6,13,0,5,1,1,0.68,0.6212,0.26,0.2537,58,190,248,Panas,Sedang,2_1
3593,2,0,6,14,0,5,1,1,0.7,0.6364,0.28,0.2836,66,174,240,Panas,Sedang,2_1
3594,2,0,6,15,0,5,1,1,0.7,0.6364,0.28,0.2836,56,156,212,Panas,Sedang,2_1
3595,2,0,6,16,0,5,1,1,0.72,0.6364,0.26,0.3284,63,286,349,Panas,Sedang,2_1
3596,2,0,6,17,0,5,1,1,0.72,0.6364,0.25,0.2836,73,485,558,Panas,Sedang,2_1
3597,2,0,6,18,0,5,1,1,0.7,0.6364,0.24,0.2985,76,488,564,Panas,Sedang,2_1
3598,2,0,6,19,0,5,1,1,0.68,0.6212,0.26,0.2836,53,338,391,Panas,Sedang,2_1
3599,2,0,6,20,0,5,1,1,0.64,0.6212,0.29,0.1642,57,236,293,Panas,Rendah,2_1
3600,2,0,6,21,0,5,1,1,0.64,0.6212,0.29,0.1045,51,196,247,Panas,Rendah,2_1
3601,2,0,6,22,0,5,1,1,0.62,0.6212,0.35,0.0,26,145,171,Panas,Rendah,2_1
3602,2,0,6,23,0,5,1,1,0.58,0.5455,0.46,0.1045,30,141,171,Hangat,Rendah,2_1
3603,2,0,6,0,0,6,0,1,0.56,0.5303,0.52,0.0,24,69,93,Hangat,Rendah,2_1
3604,2,0,6,1,0,6,0,1,0.54,0.5152,0.64,0.1045,14,80,94,Hangat,Rendah,2_1
3605,2,0,6,2,0,6,0,1,0.54,0.5152,0.56,0.194,18,41,59,Hangat,Rendah,2_1
3606,2,0,6,3,0,6,0,1,0.52,0.5,0.59,0.1045,8,10,18,Hangat,Rendah,2_1
3607,2,0,6,4,0,6,0,1,0.52,0.5,0.59,0.0896,4,11,15,Hangat,Rendah,2_1
3608,2,0,6,5,0,6,0,1,0.5,0.4848,0.64,0.0,3,5,8,Hangat,Rendah,2_1
3609,2,0,6,6,0,6,0,1,0.54,0.5152,0.6,0.0,11,17,28,Hangat,Rendah,2_1
3610,2,0,6,7,0,6,0,1,0.56,0.5303,0.56,0.0,27,60,87,Hangat,Rendah,2_1
3611,2,0,6,8,0,6,0,1,0.6,0.6212,0.46,0.0896,29,96,125,Hangat,Rendah,2_1
3612,2,0,6,9,0,6,0,1,0.62,0.6212,0.43,0.1343,55,169,224,Panas,Rendah,2_1
3613,2,0,6,10,0,6,0,1,0.64,0.6212,0.38,0.1045,115,202,317,Panas,Rendah,2_1
3614,2,0,6,11,0,6,0,1,0.66,0.6212,0.36,0.1343,120,249,369,Panas,Rendah,2_1
3615,2,0,6,12,0,6,0,1,0.7,0.6364,0.32,0.1642,150,270,420,Panas,Rendah,2_1
3616,2,0,6,13,0,6,0,1,0.74,0.6515,0.28,0.1343,188,268,456,Panas,Rendah,2_1
3617,2,0,6,14,0,6,0,1,0.74,0.6515,0.33,0.2239,193,258,451,Panas,Sedang,2_1
3618,2,0,6,15,0,6,0,2,0.74,0.6515,0.27,0.4179,180,224,404,Panas,Sedang,2_2
